id,pir9800,pir0712,pir1517,pccol0016,pcnhwht0016,pcnhblk0016,pcasian0016,pchisp0016,cmhmval0016a17,cmrent0016a17,chinc1216a17,chincw1216a17,chincb1216a17,chinca1216a17,chinch1216a17,cmeansp0916a17,cmediansp0916a17,chinc0016a17,chincw0016a17,chincb0016a17,chinca0016a17,chinch0016a17,cmeansp0016a17,cmediansp0016a17
37063001806,2.28,2.22,3.12,-6.79,-15.33,9.03,-0.10,6.40,-7322.20,351.26,-5338.70,-8963.04,-462.09,NaN,14699.80,44878.10,42532.84,-14149.82,-16392.46,-12422.49,NaN,-14552.13,23424.14,18364.62
37063001807,2.30,2.53,2.80,-4.45,-31.53,15.03,0.30,14.70,-20996.54,366.57,-1541.46,-18808.34,4452.87,-32179.97,-15535.98,11133.60,11594.66,-15329.48,-14659.69,-17818.76,16182.45,-42120.22,-15940.17,-6016.23
37063001808,2.97,2.82,3.05,1.82,-25.69,17.76,5.10,1.26,36634.94,494.06,2175.51,13745.92,17715.75,68962.87,-80408.29,874.44,27986.77,18343.46,17651.51,19913.13,-22323.67,-10207.57,87724.75,62430.95
37063001809,2.56,3.78,3.52,2.60,-24.15,24.55,-0.13,-2.34,25317.13,110.07,6039.15,4566.93,14987.72,-214098.11,1357.72,39806.20,6667.62,-11401.69,-4794.05,-32702.57,-38431.85,-24938.63,55564.53,30516.33
37063001900,3.08,2.22,5.04,13.14,-12.25,4.68,3.69,0.18,30036.13,768.69,-6481.38,-250.28,-31926.60,NaN,42142.57,159209.87,190578.35,8466.31,7308.40,15723.53,NaN,27445.56,135001.13,168943.35
37063002007,2.30,2.95,3.03,-28.10,-3.62,-3.40,-2.06,7.27,12792.67,101.89,7176.24,10759.08,-7647.00,NaN,6223.99,41865.73,28240.62,-7154.71,-1881.13,-8238.74,NaN,-6710.85,51713.43,44088.24
37063002008,2.23,2.84,3.19,-40.51,-4.62,3.38,-1.67,0.39,25344.03,389.14,2679.63,9369.90,-16777.11,NaN,NaN,35870.15,58079.55,-4909.93,8914.82,-22530.94,NaN,NaN,164392.12,128174.43
37063002009,1.99,1.61,2.78,-9.01,-0.08,-15.67,1.65,12.71,-6643.94,296.16,-10377.03,57125.38,-10789.03,NaN,32832.90,28708.02,25768.07,-19977.66,-42726.71,-20008.66,NaN,-30309.58,-5425.72,-11423.37
37063002013,2.22,2.26,3.09,-26.29,-6.85,-0.49,-2.40,6.39,-10109.37,98.46,-4799.53,-8314.88,1307.36,124759.19,NaN,38791.02,47618.95,-25462.20,-28273.13,-15256.47,77658.00,NaN,11831.77,4952.88
37063002015,3.23,4.09,4.92,-30.81,3.36,-4.60,-1.64,1.74,-323.76,-10.27,940.05,-9063.94,-3153.94,NaN,13180.73,45869.29,39411.96,-12651.97,-9622.69,-18117.44,NaN,-15751.38,50410.30,32249.21
37063002016,4.28,5.78,7.31,-29.53,-10.05,-2.11,-2.65,13.38,-37364.34,-37.40,-1155.43,-14571.48,-94.79,24156.10,-9247.07,107947.37,48887.68,-7465.25,-7378.23,-10476.26,-1865.07,-5096.82,111421.13,78057.68
37063002017,2.86,4.06,4.97,-40.23,-12.71,1.79,4.93,2.21,21771.26,132.64,-9596.65,-8482.91,-28960.19,32574.54,NaN,61344.88,26364.07,-39988.63,-43802.61,-23805.56,-50402.29,NaN,62517.44,37622.63
37063002018,2.79,4.65,4.02,-44.06,-15.27,7.50,1.04,4.65,66762.23,114.85,13148.37,13166.82,-8135.09,35741.42,NaN,25015.44,7118.14,-1547.07,11081.46,-21421.66,-17817.77,NaN,137702.21,101977.95
37063002019,3.55,5.76,5.21,-31.71,15.48,-14.51,-0.91,0.75,41797.27,56.62,20292.46,9027.72,240.26,NaN,NaN,44764.73,73600.10,-5420.35,-3243.33,-34762.64,NaN,NaN,129998.38,111479.88
37063002020,3.66,2.63,3.01,-29.14,-0.22,-4.31,2.09,-0.95,90575.90,NaN,-6644.08,-11989.31,-7502.68,-42125.33,-19939.72,50289.23,30265.04,41646.95,39271.64,52340.89,50972.42,19685.73,114001.92,69903.87
37063002021,3.12,5.79,4.27,-30.90,-13.72,3.99,1.59,7.25,12815.83,61.72,19262.31,2691.76,16299.38,NaN,NaN,27923.55,7898.49,-15961.84,-14357.30,-16993.14,NaN,NaN,27133.35,28099.52
37063002022,2.51,3.81,3.80,-28.95,-9.52,9.49,-3.81,0.25,-39228.32,-80.12,7862.20,3456.25,12117.56,NaN,-1619.20,26474.75,29290.83,-21522.40,-11310.18,-20900.53,NaN,3356.11,15459.42,26871.88
37063002023,2.56,3.29,3.73,-43.67,-6.77,-0.31,0.99,7.02,22291.54,-78.69,3119.89,-12264.58,8698.75,NaN,-57221.85,30671.30,40974.94,-17940.26,-9501.06,-12565.78,NaN,7844.11,34926.47,36051.52
37063002024,2.56,2.27,3.17,-44.31,-3.57,-0.71,0.49,4.02,-18119.21,174.38,-13230.21,-2282.90,-29077.62,-47079.22,-28078.29,67052.56,45143.23,-4813.91,-5258.95,4272.03,-24766.37,22115.43,48680.51,38092.47
37063002025,2.60,2.97,2.72,-11.79,13.33,-20.40,-0.64,4.83,32692.14,65.71,15988.46,-2966.62,12685.28,38037.61,NaN,15063.63,26341.47,10022.36,-3333.62,10105.55,34390.74,NaN,27734.66,35474.10
37063002026,1.77,2.67,3.90,-19.37,-12.38,8.61,-5.24,6.33,-25782.79,10.54,-2336.51,13131.37,-3127.07,NaN,33493.25,43586.77,44389.87,-31611.82,-22831.36,-28419.20,NaN,39161.08,39811.62,32252.50
37063002027,2.25,4.06,4.90,-18.89,-30.54,21.09,-8.08,16.63,6222.44,-89.79,-2969.00,13793.59,6646.91,-21521.98,-242.00,28168.21,28291.95,-20564.73,-3956.19,-25937.90,-3753.07,-7491.76,73972.86,81438.73
37063002028,2.90,3.63,4.69,-7.02,-14.24,8.79,1.32,1.33,-2655.68,67.36,1160.80,-4436.48,-4645.27,-4368.36,117489.28,73852.24,76082.68,-603.25,8502.77,-3719.14,-15302.78,120610.30,118332.34,119771.36
37063002100,3.14,2.90,3.92,-20.56,-19.88,14.24,-0.61,3.92,21400.13,203.18,-14524.57,-15364.47,-13648.14,NaN,118313.94,65684.96,44462.74,-5780.73,-10486.13,-3735.42,NaN,59054.70,32502.15,47615.58
37063002200,2.32,2.27,5.08,1.49,41.37,-30.93,1.64,-12.99,113751.97,611.90,16157.01,18607.11,21780.52,NaN,23337.82,266858.50,220287.53,23011.67,2679.06,2981.75,NaN,21389.80,316522.23,233660.65
37063002300,3.94,3.11,13.10,2.24,6.92,-18.46,-0.21,12.03,NaN,407.64,1286.13,-8323.98,3146.62,NaN,-3998.93,187369.67,194205.50,-5904.68,478.41,-4513.55,NaN,-104987.24,120312.86,151157.50
37063980100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
